"GeneID","ensembl_clean","Module","MM","GS_Tumor","gene_name","gene_type"
"ENSG00000174307.7","ENSG00000174307","black",0.215973794447881,0.0317946461328029,"PHLDA3","protein_coding"
"ENSG00000122859.5","ENSG00000122859","grey",-0.176823351208202,-0.244490483591704,"NEUROG3","protein_coding"
"ENSG00000273079.6","ENSG00000273079","brown",0.38309479972427,0.446891318316052,"GRIN2B","protein_coding"
"ENSG00000237594.2","ENSG00000237594","grey",-0.154650870050094,-0.165151296224468,"AP000251.1","lncRNA"
"ENSG00000022267.19","ENSG00000022267","turquoise",-0.528014417031436,-0.584265848171127,"FHL1","protein_coding"
"ENSG00000071967.12","ENSG00000071967","turquoise",-0.505531298313853,-0.436468583135987,"CYBRD1","protein_coding"
"ENSG00000103260.9","ENSG00000103260","red",0.162225942571342,-0.00358496142555172,"METRN","protein_coding"
"ENSG00000111799.21","ENSG00000111799","magenta",0.198160407281634,0.32675664909411,"COL12A1","protein_coding"
"ENSG00000077420.16","ENSG00000077420","blue",-0.456633754743932,-0.346828093534144,"APBB1IP","protein_coding"
"ENSG00000166828.3","ENSG00000166828","green",-0.416486104233275,-0.533215620287596,"SCNN1G","protein_coding"
"ENSG00000180869.4","ENSG00000180869","yellow",0.273823082272938,0.278599087085681,"LINC01555","lncRNA"
"ENSG00000250305.9","ENSG00000250305","grey",-0.288262147419242,-0.243897617839729,"TRMT9B","protein_coding"
"ENSG00000119125.17","ENSG00000119125","grey",-0.184396492949609,-0.150045165174609,"GDA","protein_coding"
"ENSG00000225978.3","ENSG00000225978","darkgreen",0.0619385502968736,0.0384443214616033,"HAR1A","lncRNA"
"ENSG00000160161.9","ENSG00000160161","black",0.24968880045243,0.233020220171991,"CILP2","protein_coding"
"ENSG00000233476.3","ENSG00000233476","darkred",-0.172435276687809,-0.164603006316879,"EEF1A1P6","processed_pseudogene"
"ENSG00000149131.17","ENSG00000149131","black",-0.151467052028454,-0.205310074679699,"SERPING1","protein_coding"
"ENSG00000099954.18","ENSG00000099954","grey",0.0341256437284695,0.0700712769225805,"CECR2","protein_coding"
"ENSG00000123689.6","ENSG00000123689","magenta",0.102091589774557,0.0842995905373582,"G0S2","protein_coding"
"ENSG00000185615.16","ENSG00000185615","grey",0.263653898874986,0.123741689287653,"PDIA2","protein_coding"
"ENSG00000255474.1","ENSG00000255474","cyan",-0.0844840454404255,-0.130586665603257,"GAU1","lncRNA"
"ENSG00000188403.7","ENSG00000188403","purple",-0.384450626467153,-0.384939369346378,"IGHV1OR15-9","IG_V_gene"
"ENSG00000204616.11","ENSG00000204616","greenyellow",-0.0664415006435198,-0.160078069517294,"TRIM31","protein_coding"
"ENSG00000124107.5","ENSG00000124107","greenyellow",0.155739437230728,0.0114388920576913,"SLPI","protein_coding"
"ENSG00000187479.8","ENSG00000187479","black",0.133392534533477,-0.0277043945923771,"C11orf96","protein_coding"
"ENSG00000101307.16","ENSG00000101307","blue",-0.17587766364151,-0.0512534963993996,"SIRPB1","protein_coding"
"ENSG00000148344.11","ENSG00000148344","black",0.184994382996997,0.0874351652112014,"PTGES","protein_coding"
"ENSG00000135842.17","ENSG00000135842","turquoise",-0.602006885265169,-0.53570697723967,"NIBAN1","protein_coding"
"ENSG00000087245.13","ENSG00000087245","magenta",-0.0110420938211028,-0.0427455352438269,"MMP2","protein_coding"
"ENSG00000182463.16","ENSG00000182463","turquoise",-0.188797607867219,-0.0697477401945574,"TSHZ2","protein_coding"
"ENSG00000163083.6","ENSG00000163083","grey",0.328838358369001,0.210232747940214,"INHBB","protein_coding"
"ENSG00000092929.12","ENSG00000092929","greenyellow",0.0832660009981328,-0.0884123944922332,"UNC13D","protein_coding"
"ENSG00000196139.14","ENSG00000196139","salmon",-0.150455883528734,-0.299586626813963,"AKR1C3","protein_coding"
"ENSG00000188580.15","ENSG00000188580","grey",-0.0964264605577693,-0.0605886824374332,"NKAIN2","protein_coding"
"ENSG00000186868.16","ENSG00000186868","turquoise",-0.316691843550372,-0.394117939247205,"MAPT","protein_coding"
"ENSG00000283526.1","ENSG00000283526","greenyellow",-0.188140631371656,-0.230147640577439,"PRRT1B","protein_coding"
"ENSG00000165828.15","ENSG00000165828","salmon",0.191503310366822,0.0075090910942825,"PRAP1","protein_coding"
"ENSG00000116017.11","ENSG00000116017","yellow",0.383125414334849,0.355496799319214,"ARID3A","protein_coding"
"ENSG00000138823.13","ENSG00000138823","grey",0.130199989810641,0.0492256768901149,"MTTP","protein_coding"
"ENSG00000170323.9","ENSG00000170323","turquoise",-0.402726840588502,-0.444811571347981,"FABP4","protein_coding"
"ENSG00000184347.15","ENSG00000184347","turquoise",-0.448759481936246,-0.513922877852509,"SLIT3","protein_coding"
"ENSG00000163359.16","ENSG00000163359","magenta",0.00672673581786482,0.087823523538903,"COL6A3","protein_coding"
"ENSG00000175785.13","ENSG00000175785","turquoise",-0.594882878184408,-0.68925247317146,"PRIMA1","protein_coding"
"ENSG00000163563.8","ENSG00000163563","blue",-0.300600812914921,-0.127305719706019,"MNDA","protein_coding"
"ENSG00000104415.14","ENSG00000104415","magenta",0.294797465320199,0.467163223364448,"CCN4","protein_coding"
"ENSG00000277363.5","ENSG00000277363","yellow",0.490622609900789,0.298286605999474,"SRCIN1","protein_coding"
"ENSG00000172482.5","ENSG00000172482","salmon",-0.0620541882597066,-0.198045996289195,"AGXT","protein_coding"
"ENSG00000242110.8","ENSG00000242110","salmon",0.106037723713434,-0.03875273152886,"AMACR","protein_coding"
"ENSG00000198695.2","ENSG00000198695","darkturquoise",-0.221394614193895,-0.300626642960099,"MT-ND6","protein_coding"
"ENSG00000187193.9","ENSG00000187193","green",-0.281987488253047,-0.384652667249034,"MT1X","protein_coding"
"ENSG00000231172.2","ENSG00000231172","yellow",0.43198702213898,0.40176557209607,"AC007099.1","lncRNA"
"ENSG00000247381.3","ENSG00000247381","yellow",0.481831964869795,0.408597543006649,"PLUT","lncRNA"
"ENSG00000177839.7","ENSG00000177839","grey",0.130446308340591,0.185939670055568,"PCDHB9","protein_coding"
"ENSG00000279193.1","ENSG00000279193","yellow",0.369611537458662,0.278606279325703,"AC026336.4","TEC"
"ENSG00000153902.14","ENSG00000153902","turquoise",-0.33975906123445,-0.499391788642591,"LGI4","protein_coding"
"ENSG00000273295.1","ENSG00000273295","grey",-0.241031642987149,-0.14226499308459,"AP000350.6","lncRNA"
